Period,Mode,mean,std,count,se,ci95
Pre-2020,MetroBus,350686.3425925926,118213.46561260504,216,8043.407541025777,15765.078780410524
Pre-2020,MetroTrain,672133.5648148148,202333.8840808257,216,13767.077046485087,26983.47101111077
Pre-2020,RegionalBus,30255.787037037036,11927.418143241983,216,811.5580111043671,1590.6537017645594
Pre-2020,RegionalTrain,48380.555555555555,14302.216990827445,216,973.1426060580866,1907.3595078738497
Pre-2020,Tram,575107.175925926,125871.5950811245,216,8564.47725163811,16786.375413210695
2020-2021,MetroBus,169377.67857142858,98280.3413001126,224,6566.631517861257,12870.597775008064
2020-2021,MetroTrain,242316.74107142858,178972.3140991239,224,11958.09073351809,23437.857837695454
2020-2021,RegionalBus,18754.6875,10048.762853181699,224,671.4112099561945,1315.9659715141413
2020-2021,RegionalTrain,19675.223214285714,14142.674661701132,224,944.9471985124053,1852.0965090843144
2020-2021,Tram,187077.23214285713,135608.98813558277,224,9060.756645900768,17759.083025965505
Post-2021,MetroBus,306689.04761904763,92520.22838379005,420,4514.524881447783,8848.468767637654
Post-2021,MetroTrain,463188.09523809527,132194.73756831113,420,6450.4427018163515,12642.86769556005
Post-2021,RegionalBus,29885.47619047619,9896.44850894117,420,482.89724109035456,946.4785925370949
Post-2021,RegionalTrain,46392.380952380954,15038.170655250517,420,733.7875919735735,1438.2236802682041
Post-2021,Tram,416411.90476190473,83648.13037205505,420,4081.610826604847,7999.957220145499
